2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 247 1722 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - b'iDOT' 207 28 (unknown) None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - b'iDOT' 207 28 (unknown) None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - b'iDOT' 207 28 (unknown) None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 247 1448 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 247 791 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 247 1426 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - b'iDOT' 207 28 (unknown) None
2026-06-12T13:00:05Z - DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 247 2375 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - b'iDOT' 207 28 (unknown) None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 247 756 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:06Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
